,volunteer,no_odour_before,volunt_odour_before,activated_before,percent_act_person_before,no_odour_after,volunt_odour_after,activated_after,percent_act_person_after,act_diff
0,subj26,13,8,21,0.38095238095238093,23,10,33,0.30303030303030304,-0.07792207792207789
1,subj27,7,11,18,0.6111111111111112,10,13,23,0.5652173913043478,-0.04589371980676338
2,subj28,26,11,37,0.2972972972972973,15,8,23,0.34782608695652173,0.050528789659224416
3,subj29,5,10,15,0.6666666666666666,7,6,13,0.46153846153846156,-0.20512820512820507
4,subj30,12,9,21,0.42857142857142855,15,9,24,0.375,-0.05357142857142855
5,subj31,6,0,6,0.0,6,2,8,0.25,0.25
6,subj32,2,8,10,0.8,1,3,4,0.75,-0.050000000000000044
7,subj33,10,12,22,0.5454545454545454,10,11,21,0.5238095238095238,-0.021645021645021578
8,subj34,3,20,23,0.8695652173913043,10,14,24,0.5833333333333334,-0.28623188405797095
9,subj35,4,7,11,0.6363636363636364,7,14,21,0.6666666666666666,0.030303030303030276
10,subj36,12,9,21,0.42857142857142855,13,13,26,0.5,0.07142857142857145
11,subj37,6,15,21,0.7142857142857143,8,19,27,0.7037037037037037,-0.010582010582010581
12,subj38,13,17,30,0.5666666666666667,14,8,22,0.36363636363636365,-0.203030303030303
13,subj39,13,7,20,0.35,17,4,21,0.19047619047619047,-0.1595238095238095
14,subj40,16,13,29,0.4482758620689655,10,15,25,0.6,0.15172413793103445
15,subj41,11,7,18,0.3888888888888889,14,6,20,0.3,-0.0888888888888889
16,subj42,1,6,7,0.8571428571428571,2,5,7,0.7142857142857143,-0.1428571428571428
17,subj43,3,4,7,0.5714285714285714,2,1,3,0.3333333333333333,-0.23809523809523808
